
Qualification statistics
========================
Population: "RM
Format    : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_122cm10rings)
Runs      : 100000

Results
Average number of ties : 56.52
                StdDev :  2.42
Average correctness    : 1.331852
                StdDev : 0.109401


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|         63( 63)    | + |         0        |       100.34        |         662.0             |       661.9     |  6.367( 0.4%)  |
|         64( 64)    | + |         0        |       100.20        |         662.0             |       661.6     |  6.346( 0.4%)  |
|         65( 65)    | + |         0        |       100.06        |         661.0             |       661.2     |  6.374( 0.4%)  |
|         66( 66)    | + |         0        |        99.92        |         661.0             |       660.8     |  6.406( 0.4%)  |
|         67( 67)    | + |         0        |        99.77        |         660.0             |       660.5     |  6.437( 0.4%)  |
|         68( 68)    | + |         0        |        99.63        |         660.0             |       660.1     |  6.449( 0.4%)  |
|         69( 69)    | + |         0        |        99.49        |         660.0             |       659.7     |  6.466( 0.4%)  |
|         70( 70)    | + |         0        |        99.35        |         659.0             |       659.3     |  6.490( 0.4%)  |
|         71( 71)    | + |         0        |        99.20        |         659.0             |       659.0     |  6.508( 0.4%)  |
|         72( 72)    | + |         0        |        99.06        |         659.0             |       658.5     |  6.558( 0.4%)  |
|         73( 73)    | + |         0        |        98.92        |         658.0             |       658.2     |  6.569( 0.4%)  |
|         74( 74)    | + |         0        |        98.78        |         658.0             |       657.8     |  6.580( 0.4%)  |
|         75( 75)    | + |         0        |        98.63        |         657.0             |       657.4     |  6.611( 0.4%)  |
|         76( 76)    | + |         0        |        98.49        |         657.0             |       657.0     |  6.623( 0.4%)  |
|         77( 77)    | + |         0        |        98.35        |         657.0             |       656.6     |  6.688( 0.4%)  |
|         78( 78)    | + |         0        |        98.21        |         656.0             |       656.2     |  6.686( 0.4%)  |
|         79( 79)    | + |         0        |        98.06        |         656.0             |       655.8     |  6.736( 0.4%)  |
|         80( 80)    | + |         0        |        97.92        |         655.0             |       655.4     |  6.726( 0.4%)  |
|         81( 81)    | + |         0        |        97.78        |         655.0             |       655.1     |  6.766( 0.4%)  |
|         82( 82)    | + |         0        |        97.64        |         655.0             |       654.7     |  6.783( 0.4%)  |
|         83( 83)    | + |         0        |        97.49        |         654.0             |       654.2     |  6.819( 0.4%)  |
|         84( 84)    | + |         0        |        97.35        |         654.0             |       653.8     |  6.847( 0.4%)  |
|         85( 85)    | + |         0        |        97.21        |         653.0             |       653.4     |  6.835( 0.4%)  |
|         86( 86)    | + |         0        |        97.07        |         653.0             |       653.1     |  6.885( 0.4%)  |
|         87( 87)    | + |         0        |        96.92        |         653.0             |       652.7     |  6.911( 0.4%)  |
|         88( 88)    | + |         0        |        96.78        |         652.0             |       652.2     |  6.938( 0.4%)  |
|         89( 89)    | + |         0        |        96.64        |         652.0             |       651.8     |  6.943( 0.4%)  |
|         90( 90)    | + |         0        |        96.50        |         651.0             |       651.4     |  6.954( 0.4%)  |
|         91( 91)    | + |         0        |        96.35        |         651.0             |       651.0     |  7.031( 0.4%)  |
|         92( 92)    | + |         0        |        96.21        |         651.0             |       650.6     |  7.033( 0.4%)  |
|         93( 93)    | + |         0        |        96.07        |         650.0             |       650.2     |  7.050( 0.4%)  |
|         94( 94)    | + |         0        |        95.93        |         650.0             |       649.7     |  7.086( 0.4%)  |
|         95( 95)    | + |         0        |        95.78        |         649.0             |       649.3     |  7.083( 0.4%)  |
|         96( 96)    | + |         0        |        95.64        |         649.0             |       648.9     |  7.134( 0.4%)  |
|         97( 97)    | + |         0        |        95.50        |         648.0             |       648.4     |  7.156( 0.4%)  |
|         98( 98)    | + |         0        |        95.36        |         648.0             |       648.1     |  7.156( 0.4%)  |
|         99( 99)    | + |         0        |        95.21        |         648.0             |       647.6     |  7.190( 0.4%)  |
|        100(100)    | + |         0        |        95.07        |         647.0             |       647.2     |  7.238( 0.4%)  |
|        101(101)    | + |         0        |        94.93        |         647.0             |       646.8     |  7.254( 0.4%)  |
|        102(102)    | + |         0        |        94.79        |         646.0             |       646.3     |  7.284( 0.4%)  |
|        103(103)    | + |         0        |        94.64        |         646.0             |       645.9     |  7.313( 0.4%)  |
|        104(104)    | + |         0        |        94.50        |         645.0             |       645.5     |  7.348( 0.4%)  |

Qualification statistics
========================
Population: "RM
Format    : 70.0m at Experimental 100cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_100cm10rings)
Runs      : 100000

Results
Average number of ties : 50.85
                StdDev :  2.68
Average correctness    : 1.309125
                StdDev : 0.107485


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|--------------------+---+------------------+---------------------+---------------------------+-----------------+---------------|
|          1(  1)    | + |         0        |       117.00        |         684.0             |       683.8     |  5.028( 0.3%)  |
|          2(  2)    | + |         0        |       116.33        |         682.0             |       682.4     |  5.131( 0.3%)  |
|          3(  3)    | + |         0        |       115.67        |         681.0             |       681.1     |  5.218( 0.3%)  |
|          4(  5)    | + |         0        |       115.00        |         680.0             |       679.7     |  5.304( 0.3%)  |
|          5(  4)    | + |         0        |       115.00        |         680.0             |       679.6     |  5.284( 0.3%)  |
|          6(  6)    | + |         0        |       113.53        |         676.0             |       676.5     |  5.477( 0.3%)  |
|          7(  7)    | + |         0        |       112.07        |         673.0             |       673.2     |  5.676( 0.4%)  |
|          8(  9)    | + |         0        |       110.60        |         670.0             |       669.8     |  5.926( 0.4%)  |
|          9(  8)    | + |         0        |       110.60        |         670.0             |       669.7     |  5.918( 0.4%)  |
|         10( 10)    | + |         0        |       110.11        |         669.0             |       668.6     |  5.953( 0.4%)  |
|         11( 11)    | + |         0        |       109.63        |         667.0             |       667.4     |  6.048( 0.4%)  |
|         12( 12)    | + |         0        |       109.14        |         666.0             |       666.2     |  6.133( 0.4%)  |
|         13( 13)    | + |         0        |       108.66        |         665.0             |       664.9     |  6.197( 0.4%)  |
|         14( 14)    | + |         0        |       108.17        |         664.0             |       663.7     |  6.254( 0.4%)  |
|         15( 15)    | + |         0        |       107.69        |         662.0             |       662.5     |  6.342( 0.4%)  |
|         16( 17)    | + |         0        |       107.20        |         661.0             |       661.2     |  6.424( 0.4%)  |
|         17( 16)    | + |         0        |       107.20        |         661.0             |       661.2     |  6.407( 0.4%)  |
|         18( 18)    | + |         0        |       107.05        |         661.0             |       660.8     |  6.438( 0.4%)  |
|         19( 19)    | + |         0        |       106.91        |         660.0             |       660.4     |  6.468( 0.4%)  |
|         20( 20)    | + |         0        |       106.76        |         660.0             |       660.0     |  6.490( 0.4%)  |
|         21( 21)    | + |         0        |       106.61        |         660.0             |       659.7     |  6.498( 0.4%)  |
|         22( 22)    | + |         0        |       106.47        |         659.0             |       659.3     |  6.524( 0.4%)  |
|         23( 23)    | + |         0        |       106.32        |         659.0             |       658.8     |  6.553( 0.4%)  |
|         24( 24)    | + |         0        |       106.17        |         658.0             |       658.5     |  6.614( 0.4%)  |
|         25( 25)    | + |         0        |       106.03        |         658.0             |       658.1     |  6.583( 0.4%)  |
|         26( 26)    | + |         0        |       105.88        |         658.0             |       657.7     |  6.602( 0.4%)  |
|         27( 27)    | + |         0        |       105.73        |         657.0             |       657.3     |  6.649( 0.4%)  |
|         28( 28)    | + |         0        |       105.59        |         657.0             |       656.9     |  6.658( 0.4%)  |
|         29( 29)    | + |         0        |       105.44        |         656.0             |       656.5     |  6.675( 0.4%)  |
|         30( 30)    | + |         0        |       105.29        |         656.0             |       656.0     |  6.730( 0.4%)  |
|         31( 31)    | + |         0        |       105.15        |         656.0             |       655.6     |  6.778( 0.4%)  |
|         32( 33)    | + |         0        |       105.00        |         655.0             |       655.2     |  6.786( 0.4%)  |
|         33( 32)    | + |         0        |       105.00        |         655.0             |       655.2     |  6.786( 0.4%)  |
|         34( 34)    | + |         0        |       104.83        |         655.0             |       654.8     |  6.810( 0.4%)  |
|         35( 35)    | + |         0        |       104.67        |         654.0             |       654.3     |  6.831( 0.4%)  |
|         36( 36)    | + |         0        |       104.50        |         654.0             |       653.9     |  6.861( 0.4%)  |
|         37( 37)    | + |         0        |       104.34        |         653.0             |       653.4     |  6.886( 0.4%)  |
|         38( 38)    | + |         0        |       104.17        |         653.0             |       652.9     |  6.897( 0.4%)  |
|         39( 39)    | + |         0        |       104.01        |         652.0             |       652.4     |  6.963( 0.4%)  |
|         40( 40)    | + |         0        |       103.84        |         652.0             |       652.0     |  6.973( 0.4%)  |
|         41( 41)    | + |         0        |       103.68        |         651.0             |       651.5     |  6.986( 0.4%)  |
|         42( 42)    | + |         0        |       103.51        |         651.0             |       651.0     |  7.015( 0.4%)  |
|         43( 43)    | + |         0        |       103.35        |         651.0             |       650.6     |  7.044( 0.4%)  |
|         44( 44)    | + |         0        |       103.18        |         650.0             |       650.0     |  7.108( 0.4%)  |
|         45( 45)    | + |         0        |       103.02        |         650.0             |       649.5     |  7.085( 0.4%)  |
|         46( 46)    | + |         0        |       102.85        |         649.0             |       649.0     |  7.108( 0.4%)  |
|         47( 47)    | + |         0        |       102.69        |         649.0             |       648.5     |  7.184( 0.4%)  |
|         48( 48)    | + |         0        |       102.52        |         648.0             |       648.1     |  7.195( 0.4%)  |
|         49( 49)    | + |         0        |       102.36        |         648.0             |       647.6     |  7.266( 0.4%)  |
|         50( 50)    | + |         0        |       102.19        |         647.0             |       647.1     |  7.265( 0.4%)  |
|         51( 51)    | + |         0        |       102.03        |         647.0             |       646.6     |  7.272( 0.4%)  |
|         52( 52)    | + |         0        |       101.86        |         646.0             |       646.1     |  7.324( 0.4%)  |
|         53( 53)    | + |         0        |       101.70        |         646.0             |       645.6     |  7.353( 0.4%)  |
|         54( 54)    | + |         0        |       101.53        |         645.0             |       645.1     |  7.366( 0.4%)  |
|         55( 55)    | + |         0        |       101.37        |         645.0             |       644.6     |  7.416( 0.4%)  |
|         56( 56)    | + |         0        |       101.20        |         644.0             |       644.1     |  7.416( 0.4%)  |
|         57( 57)    | + |         0        |       101.20        |         644.0             |       644.0     |  7.406( 0.4%)  |
|         58( 58)    | + |         0        |       101.06        |         644.0             |       643.6     |  7.475( 0.4%)  |
|         59( 59)    | + |         0        |       100.91        |         643.0             |       643.1     |  7.485( 0.4%)  |
|         60( 60)    | + |         0        |       100.77        |         643.0             |       642.7     |  7.510( 0.4%)  |
|         61( 61)    | + |         0        |       100.63        |         642.0             |       642.2     |  7.557( 0.4%)  |
|         62( 62)    | + |         0        |       100.49        |         642.0             |       641.8     |  7.578( 0.4%)  |
|         63( 63)    | + |         0        |       100.34        |         641.0             |       641.3     |  7.631( 0.4%)  |
|         64( 64)    | + |         0        |       100.20        |         641.0             |       640.9     |  7.619( 0.4%)  |
|         65( 65)    | + |         0        |       100.06        |         640.0             |       640.4     |  7.625( 0.4%)  |
|         66( 66)    | + |         0        |        99.92        |         640.0             |       640.0     |  7.715( 0.4%)  |
|         67( 67)    | + |         0        |        99.77        |         640.0             |       639.6     |  7.721( 0.4%)  |
|         68( 68)    | + |         0        |        99.63        |         639.0             |       639.1     |  7.748( 0.4%)  |
|         69( 69)    | + |         0        |        99.49        |         639.0             |       638.6     |  7.759( 0.4%)  |
|         70( 70)    | + |         0        |        99.35        |         638.0             |       638.1     |  7.787( 0.4%)  |
|         71( 71)    | + |         0        |        99.20        |         638.0             |       637.7     |  7.810( 0.4%)  |
|         72( 72)    | + |         0        |        99.06        |         637.0             |       637.2     |  7.852( 0.4%)  |
|         73( 73)    | + |         0        |        98.92        |         637.0             |       636.7     |  7.894( 0.4%)  |
|         74( 74)    | + |         0        |        98.78        |         636.0             |       636.3     |  7.891( 0.4%)  |
|         75( 75)    | + |         0        |        98.63        |         636.0             |       635.8     |  7.940( 0.4%)  |
|         76( 76)    | + |         0        |        98.49        |         635.0             |       635.3     |  7.953( 0.4%)  |
|         77( 77)    | + |         0        |        98.35        |         635.0             |       634.8     |  8.004( 0.4%)  |
