
Qualification statistics
========================
Population: "RM
Format    : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_122cm10rings)
Runs      : 100000

Results
Average number of ties : 56.52
                StdDev :  2.42
Average correctness    : 1.331852
                StdDev : 0.109401


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|         65( 65)    | + |         0        |       100.06        |         551.0             |       551.0     |  5.853( 0.4%)  |
|         66( 66)    | + |         0        |        99.92        |         551.0             |       550.7     |  5.845( 0.4%)  |
|         67( 67)    | + |         0        |        99.77        |         550.0             |       550.4     |  5.875( 0.4%)  |
|         68( 68)    | + |         0        |        99.63        |         550.0             |       550.0     |  5.905( 0.4%)  |
|         69( 69)    | + |         0        |        99.49        |         550.0             |       549.7     |  5.921( 0.4%)  |
|         70( 70)    | + |         0        |        99.35        |         549.0             |       549.4     |  5.939( 0.4%)  |
|         71( 71)    | + |         0        |        99.20        |         549.0             |       549.1     |  5.956( 0.4%)  |
|         72( 72)    | + |         0        |        99.06        |         549.0             |       548.8     |  5.990( 0.4%)  |
|         73( 73)    | + |         0        |        98.92        |         548.0             |       548.5     |  5.975( 0.4%)  |
|         74( 74)    | + |         0        |        98.78        |         548.0             |       548.1     |  6.011( 0.4%)  |
|         75( 75)    | + |         0        |        98.63        |         548.0             |       547.8     |  6.009( 0.4%)  |
|         76( 76)    | + |         0        |        98.49        |         548.0             |       547.5     |  6.076( 0.5%)  |
|         77( 77)    | + |         0        |        98.35        |         547.0             |       547.2     |  6.094( 0.5%)  |
|         78( 78)    | + |         0        |        98.21        |         547.0             |       546.8     |  6.125( 0.5%)  |
|         79( 79)    | + |         0        |        98.06        |         547.0             |       546.5     |  6.132( 0.5%)  |
|         80( 80)    | + |         0        |        97.92        |         546.0             |       546.2     |  6.155( 0.5%)  |
|         81( 81)    | + |         0        |        97.78        |         546.0             |       545.9     |  6.165( 0.5%)  |
|         82( 82)    | + |         0        |        97.64        |         546.0             |       545.5     |  6.182( 0.5%)  |
|         83( 83)    | + |         0        |        97.49        |         545.0             |       545.2     |  6.210( 0.5%)  |
|         84( 84)    | + |         0        |        97.35        |         545.0             |       544.9     |  6.235( 0.5%)  |
|         85( 85)    | + |         0        |        97.21        |         545.0             |       544.5     |  6.236( 0.5%)  |
|         86( 86)    | + |         0        |        97.07        |         544.0             |       544.2     |  6.277( 0.5%)  |
|         87( 87)    | + |         0        |        96.92        |         544.0             |       543.9     |  6.304( 0.5%)  |
|         88( 88)    | + |         0        |        96.78        |         544.0             |       543.5     |  6.338( 0.5%)  |
|         89( 89)    | + |         0        |        96.64        |         543.0             |       543.2     |  6.344( 0.5%)  |
|         90( 90)    | + |         0        |        96.50        |         543.0             |       542.9     |  6.358( 0.5%)  |
|         91( 91)    | + |         0        |        96.35        |         542.0             |       542.5     |  6.396( 0.5%)  |
|         92( 92)    | + |         0        |        96.21        |         542.0             |       542.2     |  6.415( 0.5%)  |
|         93( 93)    | + |         0        |        96.07        |         542.0             |       541.8     |  6.415( 0.5%)  |
|         94( 94)    | + |         0        |        95.93        |         541.0             |       541.4     |  6.483( 0.5%)  |
|         95( 95)    | + |         0        |        95.78        |         541.0             |       541.1     |  6.469( 0.5%)  |
|         96( 96)    | + |         0        |        95.64        |         541.0             |       540.7     |  6.510( 0.5%)  |
|         97( 97)    | + |         0        |        95.50        |         540.0             |       540.5     |  6.490( 0.5%)  |
|         98( 98)    | + |         0        |        95.36        |         540.0             |       540.0     |  6.566( 0.5%)  |
|         99( 99)    | + |         0        |        95.21        |         540.0             |       539.7     |  6.553( 0.5%)  |
|        100(100)    | + |         0        |        95.07        |         539.0             |       539.4     |  6.588( 0.5%)  |
|        101(101)    | + |         0        |        94.93        |         539.0             |       539.0     |  6.618( 0.5%)  |
|        102(102)    | + |         0        |        94.79        |         539.0             |       538.6     |  6.636( 0.5%)  |
|        103(103)    | + |         0        |        94.64        |         538.0             |       538.2     |  6.641( 0.5%)  |
|        104(104)    | + |         0        |        94.50        |         538.0             |       537.9     |  6.685( 0.5%)  |

Qualification statistics
========================
Population: "RM
Format    : 70.0m at Experimental 100cm, 10 rings target face, Scoring system: Cumulative 60 arrows (q_rm_60a_70m_100cm10rings)
Runs      : 100000

Results
Average number of ties : 55.56
                StdDev :  2.49
Average correctness    : 1.413407
                StdDev : 0.115864


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|--------------------+---+------------------+---------------------+---------------------------+-----------------+---------------|
|          1(  1)    | + |         0        |       117.00        |         570.0             |       569.8     |  4.594( 0.4%)  |
|          2(  2)    | + |         0        |       116.33        |         569.0             |       568.7     |  4.681( 0.4%)  |
|          3(  3)    | + |         0        |       115.67        |         568.0             |       567.5     |  4.762( 0.4%)  |
|          4(  5)    | + |         0        |       115.00        |         566.0             |       566.4     |  4.810( 0.4%)  |
|          5(  4)    | + |         0        |       115.00        |         566.0             |       566.4     |  4.838( 0.4%)  |
|          6(  6)    | + |         0        |       113.53        |         564.0             |       563.7     |  5.018( 0.4%)  |
|          7(  7)    | + |         0        |       112.07        |         561.0             |       561.0     |  5.173( 0.4%)  |
|          8(  8)    | + |         0        |       110.60        |         558.0             |       558.1     |  5.388( 0.4%)  |
|          9(  9)    | + |         0        |       110.60        |         558.0             |       558.1     |  5.374( 0.4%)  |
|         10( 10)    | + |         0        |       110.11        |         557.0             |       557.2     |  5.440( 0.4%)  |
|         11( 11)    | + |         0        |       109.63        |         556.0             |       556.1     |  5.526( 0.4%)  |
|         12( 12)    | + |         0        |       109.14        |         555.0             |       555.1     |  5.578( 0.4%)  |
|         13( 13)    | + |         0        |       108.66        |         554.0             |       554.1     |  5.632( 0.4%)  |
|         14( 14)    | + |         0        |       108.17        |         553.0             |       553.1     |  5.721( 0.4%)  |
|         15( 15)    | + |         0        |       107.69        |         552.0             |       552.1     |  5.794( 0.4%)  |
|         16( 16)    | + |         0        |       107.20        |         551.0             |       551.0     |  5.860( 0.4%)  |
|         17( 17)    | + |         0        |       107.20        |         551.0             |       551.0     |  5.865( 0.4%)  |
|         18( 18)    | + |         0        |       107.05        |         551.0             |       550.7     |  5.861( 0.4%)  |
|         19( 19)    | + |         0        |       106.91        |         550.0             |       550.4     |  5.928( 0.4%)  |
|         20( 20)    | + |         0        |       106.76        |         550.0             |       550.0     |  5.897( 0.4%)  |
|         21( 21)    | + |         0        |       106.61        |         550.0             |       549.7     |  5.909( 0.4%)  |
|         22( 22)    | + |         0        |       106.47        |         549.0             |       549.4     |  5.970( 0.4%)  |
|         23( 23)    | + |         0        |       106.32        |         549.0             |       549.1     |  5.991( 0.4%)  |
|         24( 24)    | + |         0        |       106.17        |         549.0             |       548.7     |  5.996( 0.4%)  |
|         25( 25)    | + |         0        |       106.03        |         548.0             |       548.4     |  6.044( 0.4%)  |
|         26( 26)    | + |         0        |       105.88        |         548.0             |       548.0     |  6.055( 0.4%)  |
|         27( 27)    | + |         0        |       105.73        |         548.0             |       547.7     |  6.082( 0.5%)  |
|         28( 28)    | + |         0        |       105.59        |         547.0             |       547.4     |  6.105( 0.5%)  |
|         29( 29)    | + |         0        |       105.44        |         547.0             |       547.0     |  6.114( 0.5%)  |
|         30( 30)    | + |         0        |       105.29        |         547.0             |       546.7     |  6.147( 0.5%)  |
|         31( 31)    | + |         0        |       105.15        |         546.0             |       546.4     |  6.164( 0.5%)  |
|         32( 32)    | + |         0        |       105.00        |         546.0             |       546.0     |  6.191( 0.5%)  |
|         33( 33)    | + |         0        |       105.00        |         546.0             |       546.0     |  6.185( 0.5%)  |
|         34( 34)    | + |         0        |       104.83        |         546.0             |       545.7     |  6.213( 0.5%)  |
|         35( 35)    | + |         0        |       104.67        |         545.0             |       545.2     |  6.234( 0.5%)  |
|         36( 36)    | + |         0        |       104.50        |         545.0             |       544.8     |  6.248( 0.5%)  |
|         37( 37)    | + |         0        |       104.34        |         544.0             |       544.5     |  6.308( 0.5%)  |
|         38( 38)    | + |         0        |       104.17        |         544.0             |       544.1     |  6.328( 0.5%)  |
|         39( 39)    | + |         0        |       104.01        |         544.0             |       543.7     |  6.333( 0.5%)  |
|         40( 40)    | + |         0        |       103.84        |         543.0             |       543.3     |  6.358( 0.5%)  |
|         41( 41)    | + |         0        |       103.68        |         543.0             |       542.9     |  6.389( 0.5%)  |
|         42( 42)    | + |         0        |       103.51        |         542.0             |       542.5     |  6.409( 0.5%)  |
|         43( 43)    | + |         0        |       103.35        |         542.0             |       542.1     |  6.450( 0.5%)  |
|         44( 44)    | + |         0        |       103.18        |         542.0             |       541.7     |  6.466( 0.5%)  |
|         45( 45)    | + |         0        |       103.02        |         541.0             |       541.3     |  6.467( 0.5%)  |
|         46( 46)    | + |         0        |       102.85        |         541.0             |       540.9     |  6.525( 0.5%)  |
|         47( 47)    | + |         0        |       102.69        |         540.0             |       540.4     |  6.543( 0.5%)  |
|         48( 48)    | + |         0        |       102.52        |         540.0             |       540.0     |  6.596( 0.5%)  |
|         49( 49)    | + |         0        |       102.36        |         540.0             |       539.7     |  6.602( 0.5%)  |
|         50( 50)    | + |         0        |       102.19        |         539.0             |       539.2     |  6.654( 0.5%)  |
|         51( 51)    | + |         0        |       102.03        |         539.0             |       538.8     |  6.643( 0.5%)  |
|         52( 52)    | + |         0        |       101.86        |         538.0             |       538.4     |  6.696( 0.5%)  |
|         53( 53)    | + |         0        |       101.70        |         538.0             |       538.0     |  6.740( 0.5%)  |
|         54( 54)    | + |         0        |       101.53        |         538.0             |       537.5     |  6.723( 0.5%)  |
|         55( 55)    | + |         0        |       101.37        |         537.0             |       537.1     |  6.775( 0.5%)  |
|         56( 57)    | + |         0        |       101.20        |         537.0             |       536.7     |  6.801( 0.5%)  |
|         57( 56)    | + |         0        |       101.20        |         537.0             |       536.6     |  6.826( 0.5%)  |
|         58( 58)    | + |         0        |       101.06        |         536.0             |       536.3     |  6.807( 0.5%)  |
|         59( 59)    | + |         0        |       100.91        |         536.0             |       536.0     |  6.858( 0.5%)  |
|         60( 60)    | + |         0        |       100.77        |         536.0             |       535.6     |  6.870( 0.5%)  |
|         61( 61)    | + |         0        |       100.63        |         535.0             |       535.2     |  6.916( 0.5%)  |
|         62( 62)    | + |         0        |       100.49        |         535.0             |       534.9     |  6.945( 0.5%)  |
|         63( 63)    | + |         0        |       100.34        |         534.0             |       534.5     |  6.943( 0.5%)  |
|         64( 64)    | + |         0        |       100.20        |         534.0             |       534.1     |  6.981( 0.5%)  |
|         65( 65)    | + |         0        |       100.06        |         534.0             |       533.7     |  6.993( 0.5%)  |
|         66( 66)    | + |         0        |        99.92        |         533.0             |       533.3     |  6.989( 0.5%)  |
|         67( 67)    | + |         0        |        99.77        |         533.0             |       532.9     |  7.039( 0.5%)  |
|         68( 68)    | + |         0        |        99.63        |         533.0             |       532.5     |  7.063( 0.5%)  |
|         69( 69)    | + |         0        |        99.49        |         532.0             |       532.1     |  7.105( 0.5%)  |
|         70( 70)    | + |         0        |        99.35        |         532.0             |       531.8     |  7.095( 0.5%)  |
|         71( 71)    | + |         0        |        99.20        |         531.0             |       531.4     |  7.138( 0.5%)  |
|         72( 72)    | + |         0        |        99.06        |         531.0             |       531.0     |  7.184( 0.5%)  |
|         73( 73)    | + |         0        |        98.92        |         531.0             |       530.6     |  7.167( 0.5%)  |
|         74( 74)    | + |         0        |        98.78        |         530.0             |       530.2     |  7.218( 0.5%)  |
|         75( 75)    | + |         0        |        98.63        |         530.0             |       529.8     |  7.224( 0.5%)  |
|         76( 76)    | + |         0        |        98.49        |         529.0             |       529.5     |  7.275( 0.5%)  |
|         77( 77)    | + |         0        |        98.35        |         529.0             |       529.0     |  7.307( 0.5%)  |
|         78( 78)    | + |         0        |        98.21        |         529.0             |       528.6     |  7.358( 0.5%)  |
|         79( 79)    | + |         0        |        98.06        |         528.0             |       528.2     |  7.362( 0.5%)  |
|         80( 80)    | + |         0        |        97.92        |         528.0             |       527.8     |  7.387( 0.5%)  |
|         81( 81)    | + |         0        |        97.78        |         527.0             |       527.4     |  7.401( 0.5%)  |
|         82( 82)    | + |         0        |        97.64        |         527.0             |       527.0     |  7.429( 0.5%)  |
|         83( 83)    | + |         0        |        97.49        |         527.0             |       526.6     |  7.447( 0.5%)  |
|         84( 84)    | + |         0        |        97.35        |         526.0             |       526.2     |  7.489( 0.5%)  |
|         85( 85)    | + |         0        |        97.21        |         526.0             |       525.8     |  7.500( 0.5%)  |
|         86( 86)    | + |         0        |        97.07        |         525.0             |       525.4     |  7.530( 0.5%)  |
|         87( 87)    | + |         0        |        96.92        |         525.0             |       525.0     |  7.569( 0.5%)  |
|         88( 88)    | + |         0        |        96.78        |         525.0             |       524.5     |  7.599( 0.5%)  |
|         89( 89)    | + |         0        |        96.64        |         524.0             |       524.2     |  7.603( 0.5%)  |
|         90( 90)    | + |         0        |        96.50        |         524.0             |       523.8     |  7.623( 0.5%)  |
|         91( 91)    | + |         0        |        96.35        |         523.0             |       523.3     |  7.680( 0.5%)  |
|         92( 92)    | + |         0        |        96.21        |         523.0             |       522.9     |  7.702( 0.5%)  |
|         93( 93)    | + |         0        |        96.07        |         522.0             |       522.5     |  7.718( 0.5%)  |
|         94( 94)    | + |         0        |        95.93        |         522.0             |       522.0     |  7.772( 0.5%)  |
|         95( 95)    | + |         0        |        95.78        |         522.0             |       521.6     |  7.791( 0.5%)  |
|         96( 96)    | + |         0        |        95.64        |         521.0             |       521.1     |  7.803( 0.5%)  |
|         97( 97)    | + |         0        |        95.50        |         521.0             |       520.8     |  7.789( 0.5%)  |
|         98( 98)    | + |         0        |        95.36        |         520.0             |       520.3     |  7.876( 0.5%)  |
|         99( 99)    | + |         0        |        95.21        |         520.0             |       519.9     |  7.893( 0.5%)  |
|        100(100)    | + |         0        |        95.07        |         519.0             |       519.5     |  7.930( 0.5%)  |
|        101(101)    | + |         0        |        94.93        |         519.0             |       519.0     |  7.955( 0.5%)  |
|        102(102)    | + |         0        |        94.79        |         519.0             |       518.6     |  7.993( 0.5%)  |
|        103(103)    | + |         0        |        94.64        |         518.0             |       518.1     |  8.005( 0.5%)  |
|        104(104)    | + |         0        |        94.50        |         518.0             |       517.7     |  8.032( 0.5%)  |
Qualification: 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_122cm10rings)
Elimination  : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Set-system 3 arrow sets, best of 5 sets (e_rm_3abo5_70m_122cm10rings)
Skill level distribution: 117.0 115.0 110.6 107.2 105.0 101.2 ("RM)

           Elimination round statistics
===============================================================================================================================
|                            |   1/48   |   1/24   |   1/16   |    1/8   |    1/4   |    1/2   |   FG+FB  |   total n-matches |
+----------------------------+----------+----------+----------+----------+----------+----------+----------+-------------------+
| # total simulated matches  |  4800000 |  2400000 |  1600000 |   800000 |   400000 |   200000 |   200000 |         104       |
| # avg wins after  1 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  2 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  3 sets   |   19.69% |   15.50% |   17.75% |   16.63% |   13.18% |   11.11% |   10.85% |   18.31   17.60%  |
| # avg wins after  4 sets   |   34.84% |   33.42% |   35.16% |   35.28% |   33.60% |   32.58% |   32.21% |   35.83   34.45%  |
| # avg wins after  5 sets   |   45.47% |   51.08% |   47.09% |   48.09% |   53.22% |   56.31% |   56.94% |   49.86   47.94%  |
| # avg wins after S/O       |     6.33 |     3.73 |     2.22 |     1.14 |     0.66 |     0.36 |     0.36 |   14.79   14.22%  |
| # avg wins after D-S/O     |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |    0.00    0.00%  |
| # avg wins equal score !S/O|     1.26 |     0.76 |     0.44 |     0.22 |     0.13 |     0.07 |     0.07 |    2.95    2.83%  |
| # avg wins with lower score|     0.91 |     0.47 |     0.23 |     0.10 |     0.04 |     0.02 |     0.02 |    1.72    2.83%  |
| # avg expected wins        |   74.85% |   68.59% |   74.53% |   74.45% |   67.87% |   62.07% |   61.14% |    0.50  104.00%  |
===============================================================================================================================

Number of archers that qualified top  4, also ends in top  4 =   2.0
Number of archers that qualified top  8, also ends in top  8 =   5.1
Number of archers that qualified top 16, also ends in top 16 =  10.4

Qualification ranking fit to theoretical ranking (lower is better): 1.332670

Final ranking fit to theoretical ranking  (lower is better)       : 1.768448
Qualification: 70.0m at Experimental 100cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_100cm10rings)
Elimination  : 70.0m at Experimental 100cm, 10 rings target face, Scoring system: Set-system 3 arrow sets, best of 5 sets (e_rm_3abo5_70m_100cm10rings)
Skill level distribution: 117.0 115.0 110.6 107.2 105.0 101.2 ("RM)

           Elimination round statistics
===============================================================================================================================
|                            |   1/48   |   1/24   |   1/16   |    1/8   |    1/4   |    1/2   |   FG+FB  |   total n-matches |
+----------------------------+----------+----------+----------+----------+----------+----------+----------+-------------------+
| # total simulated matches  |  4800000 |  2400000 |  1600000 |   800000 |   400000 |   200000 |   200000 |         104       |
| # avg wins after  1 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  2 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  3 sets   |   21.99% |   17.62% |   20.24% |   19.07% |   15.53% |   13.30% |   13.16% |   20.70   19.90%  |
| # avg wins after  4 sets   |   34.46% |   33.33% |   34.73% |   34.89% |   33.31% |   32.38% |   32.23% |   35.51   34.15%  |
| # avg wins after  5 sets   |   43.54% |   49.05% |   45.03% |   46.04% |   51.15% |   54.32% |   54.61% |   47.79   45.95%  |
| # avg wins after S/O       |     5.91 |     3.50 |     2.08 |     1.07 |     0.62 |     0.34 |     0.34 |   13.86   13.33%  |
| # avg wins after D-S/O     |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |    0.00    0.00%  |
| # avg wins equal score !S/O|     1.16 |     0.72 |     0.41 |     0.21 |     0.13 |     0.07 |     0.07 |    2.78    2.67%  |
| # avg wins with lower score|     1.22 |     0.64 |     0.33 |     0.14 |     0.07 |     0.04 |     0.04 |    2.38    2.67%  |
| # avg expected wins        |   75.04% |   68.76% |   74.68% |   74.68% |   68.00% |   62.08% |   61.38% |    0.50  104.00%  |
===============================================================================================================================

Number of archers that qualified top  4, also ends in top  4 =   2.0
Number of archers that qualified top  8, also ends in top  8 =   5.2
Number of archers that qualified top 16, also ends in top 16 =  10.4

Qualification ranking fit to theoretical ranking (lower is better): 1.309230

Final ranking fit to theoretical ranking  (lower is better)       : 1.752835
Qualification: 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 60 arrows (q_rm_60a_70m_122cm10rings)
Elimination  : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Set-system 3 arrow sets, best of 5 sets (e_rm_3abo5_70m_122cm10rings)
Skill level distribution: 117.0 115.0 110.6 107.2 105.0 101.2 ("RM)

           Elimination round statistics
===============================================================================================================================
|                            |   1/48   |   1/24   |   1/16   |    1/8   |    1/4   |    1/2   |   FG+FB  |   total n-matches |
+----------------------------+----------+----------+----------+----------+----------+----------+----------+-------------------+
| # total simulated matches  |  4800000 |  2400000 |  1600000 |   800000 |   400000 |   200000 |   200000 |         104       |
| # avg wins after  1 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  2 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  3 sets   |   19.56% |   15.58% |   17.79% |   16.51% |   13.18% |   11.30% |   11.11% |   18.27   17.57%  |
| # avg wins after  4 sets   |   34.82% |   33.42% |   35.18% |   35.16% |   33.74% |   32.42% |   32.28% |   35.82   34.44%  |
| # avg wins after  5 sets   |   45.62% |   50.99% |   47.03% |   48.33% |   53.08% |   56.29% |   56.61% |   49.91   47.99%  |
| # avg wins after S/O       |     6.35 |     3.72 |     2.22 |     1.15 |     0.66 |     0.36 |     0.36 |   14.80   14.23%  |
| # avg wins after D-S/O     |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |    0.00    0.00%  |
| # avg wins equal score !S/O|     1.27 |     0.76 |     0.44 |     0.22 |     0.13 |     0.07 |     0.07 |    2.95    2.84%  |
| # avg wins with lower score|     0.91 |     0.46 |     0.23 |     0.10 |     0.05 |     0.02 |     0.02 |    1.72    2.84%  |
| # avg expected wins        |   74.27% |   68.24% |   74.00% |   73.53% |   67.34% |   61.89% |   61.03% |    0.50  104.00%  |
===============================================================================================================================

Number of archers that qualified top  4, also ends in top  4 =   1.9
Number of archers that qualified top  8, also ends in top  8 =   5.0
Number of archers that qualified top 16, also ends in top 16 =  10.2

Qualification ranking fit to theoretical ranking (lower is better): 1.437974

Final ranking fit to theoretical ranking  (lower is better)       : 1.822627
Qualification: 70.0m at Experimental 100cm, 10 rings target face, Scoring system: Cumulative 60 arrows (q_rm_60a_70m_100cm10rings)
Elimination  : 70.0m at Experimental 100cm, 10 rings target face, Scoring system: Set-system 3 arrow sets, best of 5 sets (e_rm_3abo5_70m_100cm10rings)
Skill level distribution: 117.0 115.0 110.6 107.2 105.0 101.2 ("RM)

           Elimination round statistics
===============================================================================================================================
|                            |   1/48   |   1/24   |   1/16   |    1/8   |    1/4   |    1/2   |   FG+FB  |   total n-matches |
+----------------------------+----------+----------+----------+----------+----------+----------+----------+-------------------+
| # total simulated matches  |  4800000 |  2400000 |  1600000 |   800000 |   400000 |   200000 |   200000 |         104       |
| # avg wins after  1 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  2 sets   |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00% |    0.00    0.00%  |
| # avg wins after  3 sets   |   21.94% |   17.67% |   20.15% |   19.05% |   15.43% |   13.41% |   13.27% |   20.67   19.88%  |
| # avg wins after  4 sets   |   34.38% |   33.27% |   34.75% |   34.79% |   33.46% |   32.43% |   32.14% |   35.46   34.10%  |
| # avg wins after  5 sets   |   43.68% |   49.06% |   45.10% |   46.16% |   51.11% |   54.16% |   54.60% |   47.87   46.03%  |
| # avg wins after S/O       |     5.92 |     3.49 |     2.09 |     1.07 |     0.62 |     0.34 |     0.34 |   13.88   13.35%  |
| # avg wins after D-S/O     |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |     0.00 |    0.00    0.00%  |
| # avg wins equal score !S/O|     1.17 |     0.71 |     0.41 |     0.21 |     0.13 |     0.07 |     0.07 |    2.78    2.67%  |
| # avg wins with lower score|     1.22 |     0.64 |     0.33 |     0.15 |     0.07 |     0.04 |     0.04 |    2.39    2.67%  |
| # avg expected wins        |   74.51% |   68.33% |   74.23% |   73.97% |   67.69% |   61.72% |   60.80% |    0.50  104.00%  |
===============================================================================================================================

Number of archers that qualified top  4, also ends in top  4 =   2.0
Number of archers that qualified top  8, also ends in top  8 =   5.1
Number of archers that qualified top 16, also ends in top 16 =  10.3

Qualification ranking fit to theoretical ranking (lower is better): 1.413390

Final ranking fit to theoretical ranking  (lower is better)       : 1.804741

Qualification statistics
========================
Population: "RW
Format    : 70.0m at World Archery 122cm, 10 rings target face, Scoring system: Cumulative 72 arrows (q_rm_72a_70m_122cm10rings)
Runs      : 100000

Results
Average number of ties : 46.75
                StdDev :  2.79
Average correctness    : 1.115243
                StdDev : 0.090525


                                                RANKING RESULTS
=================================================================================================================================
| Qualification Rank |   | Elimination Rank | Archers Skill Level | Archers Skill Level Score | Simulated Score |    StdDev(%)  |
|--------------------+---+------------------+---------------------+---------------------------+-----------------+---------------|
|          1(  1)    | + |         0        |       114.50        |         692.0             |       692.3     |  4.465( 0.3%)  |
|          2(  2)    | + |         0        |       112.07        |         688.0             |       688.0     |  4.769( 0.3%)  |
|          3(  3)    | + |         0        |       109.63        |         683.0             |       683.2     |  5.076( 0.3%)  |
|          4(  5)    | + |         0        |       107.20        |         678.0             |       678.2     |  5.383( 0.3%)  |
|          5(  4)    | + |         0        |       107.20        |         678.0             |       678.1     |  5.364( 0.3%)  |
|          6(  6)    | + |         0        |       106.17        |         676.0             |       675.9     |  5.497( 0.3%)  |
|          7(  7)    | + |         0        |       105.13        |         674.0             |       673.6     |  5.627( 0.4%)  |
|          8(  9)    | + |         0        |       104.10        |         671.0             |       671.2     |  5.816( 0.4%)  |
|          9(  8)    | + |         0        |       104.10        |         671.0             |       671.2     |  5.809( 0.4%)  |
|         10( 10)    | + |         0        |       103.66        |         670.0             |       670.2     |  5.836( 0.4%)  |
|         11( 11)    | + |         0        |       103.21        |         669.0             |       669.1     |  5.921( 0.4%)  |
|         12( 12)    | + |         0        |       102.77        |         668.0             |       668.1     |  5.999( 0.4%)  |
|         13( 13)    | + |         0        |       102.33        |         667.0             |       666.9     |  6.051( 0.4%)  |
|         14( 14)    | + |         0        |       101.89        |         666.0             |       665.9     |  6.108( 0.4%)  |
|         15( 15)    | + |         0        |       101.44        |         665.0             |       664.8     |  6.174( 0.4%)  |
|         16( 17)    | + |         0        |       101.00        |         664.0             |       663.7     |  6.256( 0.4%)  |
|         17( 16)    | + |         0        |       101.00        |         664.0             |       663.6     |  6.241( 0.4%)  |
|         18( 18)    | + |         0        |       100.80        |         663.0             |       663.1     |  6.277( 0.4%)  |
|         19( 19)    | + |         0        |       100.60        |         663.0             |       662.6     |  6.315( 0.4%)  |
|         20( 20)    | + |         0        |       100.40        |         662.0             |       662.1     |  6.329( 0.4%)  |
|         21( 21)    | + |         0        |       100.20        |         662.0             |       661.6     |  6.361( 0.4%)  |
|         22( 22)    | + |         0        |       100.00        |         661.0             |       661.1     |  6.390( 0.4%)  |
|         23( 23)    | + |         0        |        99.80        |         661.0             |       660.5     |  6.429( 0.4%)  |
|         24( 24)    | + |         0        |        99.60        |         660.0             |       660.0     |  6.499( 0.4%)  |
|         25( 25)    | + |         0        |        99.40        |         659.0             |       659.5     |  6.482( 0.4%)  |
|         26( 26)    | + |         0        |        99.20        |         659.0             |       658.9     |  6.505( 0.4%)  |
|         27( 27)    | + |         0        |        99.00        |         658.0             |       658.4     |  6.557( 0.4%)  |
|         28( 28)    | + |         0        |        98.80        |         658.0             |       657.8     |  6.573( 0.4%)  |
|         29( 29)    | + |         0        |        98.60        |         657.0             |       657.3     |  6.599( 0.4%)  |
|         30( 30)    | + |         0        |        98.40        |         657.0             |       656.7     |  6.663( 0.4%)  |
|         31( 31)    | + |         0        |        98.20        |         656.0             |       656.2     |  6.722( 0.4%)  |
|         32( 33)    | + |         0        |        98.00        |         656.0             |       655.7     |  6.737( 0.4%)  |
|         33( 32)    | + |         0        |        98.00        |         656.0             |       655.7     |  6.733( 0.4%)  |
|         34( 34)    | + |         0        |        97.83        |         655.0             |       655.2     |  6.762( 0.4%)  |
|         35( 35)    | + |         0        |        97.65        |         655.0             |       654.7     |  6.784( 0.4%)  |
|         36( 36)    | + |         0        |        97.48        |         654.0             |       654.2     |  6.811( 0.4%)  |
|         37( 37)    | + |         0        |        97.30        |         654.0             |       653.7     |  6.841( 0.4%)  |
|         38( 38)    | + |         0        |        97.13        |         653.0             |       653.2     |  6.850( 0.4%)  |
